Source,Target
0231186029,0241287308
0231186029,0231182600
0231186029,0241281113
0008334811,0007267126
0008334811,000754247X
0008334811,185702835X
0008334811,0140167722
0008334811,0062296019
0008334811,0199546479
0099575833,1784705438
0099575833,0141049332
0099575833,1976991390
0099575833,1851685057
0099575833,1612432735
0099575833,0988872536
1847941397,0141980761
1847941397,0349119856
1847941397,0141047976
1847941397,1138935417
1847941397,0718197038
1847941397,0141019018
1409345718,0241226147
1409345718,1471159450
1409345718,1471166821
1409345718,0241238986
1409345718,1846276616
1409345718,1465475850
0241415322,1473695996
0241415322,055255958X
0241415322,1893224546
0241415322,9123655909
0241415322,0593077180
0241415322,085750357X
1782496025,1781577072
1782496025,1944515704
1782496025,1784882534
1782496025,1611803101
1782496025,1631598457
1782496025,1782216367
085750357X,1473695996
085750357X,0553173251
085750357X,0553819224
085750357X,1893224546
085750357X,0593077180
085750357X,0241415322
8499926223,0099590085
8499926223,1784703931
8499926223,1784708283
8499926223,194554094X
8499926223,8417636846
8499926223,1784874027
1409584380,1409584615
1409584380,B00JLC1BQK
1409584380,B07YZY2RGR
1409584380,B007CH0M70
1409584380,1743607725
1409584380,B017YVZMO6
0753556553,0141040017
0753556553,0141033576
0753556553,0241951224
0753556553,0007256531
0753556553,1138228915
0753556553,1912141000
0316014990,0060891548
0316014990,0241957710
0316014990,9389157129
0316014990,0241978513
0316014990,1444723251
0316014990,0399579745
1784872687,1784872636
1784872687,1784874027
1784872687,1784872725
1784872687,1784872598
1784872687,1784875686
1784872687,1784872709
1471159450,1471166821
1471159450,1471178935
1471159450,1846276616
1471159450,0241226147
1471159450,0241238986
1471159450,1409345718
0241226147,024135871X
0241226147,1465475850
0241226147,0241201306
0241226147,0241317673
0241226147,0241301939
0241226147,1846276616
1118091698,1118505085
1118091698,1848310889
1118091698,1444180320
1118091698,0192801481
1118091698,0099505576
1118091698,014198077X
0764541889,0470591005
0764541889,1857028899
0764541889,3642041000
0764541889,1119560322
0764541889,0198788010
0764541889,B085K7PGK2
0715647334,0141981806
0715647334,0198739834
0715647334,0141979240
0715647334,0715635611
0715647334,0141982411
0715647334,0140282025
0615815650,006124189X
0615815650,0061438294
0615815650,1847941435
0615815650,1905026358
0615815650,1409168506
0615815650,B0875ZTFMC
159253905X,1568989725
159253905X,1568984308
159253905X,0500293155
159253905X,1633224848
159253905X,1631591029
159253905X,144030856X
1857028791,1857028899
1857028791,1841157910
1857028791,000717604X
1857028791,1408842815
1857028791,0718185544
1857028791,3642041000
0241953898,1408893215
0241953898,1408898934
0241953898,1847941397
0241953898,0141980761
0241953898,0141988614
0241953898,030024987X
0205609996,006124189X
0205609996,0141033576
0205609996,1847941435
0205609996,0321011473
0205609996,1292022299
0205609996,B004UH4CVC
0141977787,0099302780
0141977787,0241958687
0141977787,0141024488
0141977787,0141987251
0141977787,0099913801
0141977787,0262042835
1846684307,0195374630
1846684307,0141031182
1846684307,0192893300
1846684307,0241314291
1846684307,0199226113
1846684307,1683785045
0099498022,0156010755
0099498022,0099501643
0099498022,0345807146
0099498022,0142001783
0099498022,0674060326
0099498022,0099421836
0241004489,1785784994
0241004489,1786076330
0241004489,1473661366
0241004489,0141018356
0241004489,014104652X
0241004489,0190871334
071818114X,1471159450
071818114X,1471166821
071818114X,1846276616
071818114X,1409345718
071818114X,0718185269
071818114X,0241238986
1781254176,0099505576
1781254176,1781256411
1781254176,0099460254
1781254176,0241954304
1781254176,0224100807
1781254176,0007118716
1784872717,1784872725
1784872717,1784874116
1784872717,1784872636
1784872717,1784872776
1784872717,1784874027
1784872717,1784872644
0190871334,1786076330
0190871334,0241262623
0190871334,0241004489
0190871334,1784702765
0190871334,0199390452
0190871334,0195079515
1473629284,0241294754
1473629284,1473628644
1473629284,1473629357
1473629284,1529319412
1473629284,1788400259
1473629284,1788400267
1250200911,0141986301
1250200911,1908096314
1250200911,0786168781
1250200911,1566633966
1250200911,0060578637
1250200911,1566638674
0141986972,0241312000
0141986972,0141986638
0141986972,0141039167
0141986972,1782399755
0141986972,178649955X
0141986972,1843548062
1841150088,1847394574
1841150088,0192801309
1841150088,1471139808
1841150088,0571288014
1841150088,0141986549
1841150088,0717124118
1847941834,1788171829
1847941834,1847946240
1847941834,0062457713
1847941834,0349411905
1847941834,0593189647
1847941834,1070527971
0746089120,1409584380
0746089120,1409584615
0746089120,1695770528
0746089120,1409507793
0746089120,B00JLC1BQK
0746089120,1426333072
0141990562,1408870584
0141990562,1473661234
0141990562,1529405106
0141990562,1541647432
0141990562,1847925995
0141990562,1784705039
0061438294,0008292604
0061438294,1409168506
0061438294,1635653363
0061438294,1585424927
0061438294,0753817659
0061438294,0062015044
0241958687,0099302780
0241958687,0141977787
0241958687,0141024488
0241958687,0099913801
0241958687,1846684307
0241958687,B00RWLUFDM
1851685057,1784705438
1851685057,0099575833
1851685057,0199586454
1851685057,1785783424
1851685057,110843083X
1851685057,1119550351
198101313X,078696619X
198101313X,1719846618
198101313X,1601255381
198101313X,0786966211
198101313X,1981041435
198101313X,1539440265
0865477485,0099535475
0865477485,0241956188
0865477485,0500292949
0865477485,1846688914
0865477485,1137530685
0865477485,0897331532
1781318956,0008351775
1781318956,1846276616
1781318956,1781315329
1781318956,1523506482
1781318956,1471159450
1781318956,178131716X
1444723251,1786898551
1444723251,0399579745
1444723251,9389157129
1444723251,886836400X
1444723251,0349006237
1444723251,0060891548
1784874116,1784874027
1784874116,1784872717
1784874116,1784872687
1784874116,1784872636
1784874116,1784872725
1784874116,1784872598
2808019947,0141033576
2808019947,1912453053
2808019947,178685807X
2808019947,1473613809
2808019947,006124189X
2808019947,0099590085
0141980761,0141986107
0141980761,1847941397
0141980761,1529352525
0141980761,0674979850
0141980761,1119120950
0141980761,1408893746
147213995X,1847941834
147213995X,1785040200
147213995X,0241958229
147213995X,1612436013
147213995X,1780332009
147213995X,0345472322
0141985488,0141990627
0141985488,1408893215
0141985488,1785902172
0141985488,0755600630
0141985488,1474294162
0141985488,1509522964
0224100807,1910931268
0224100807,0099505576
0224100807,1786038102
0224100807,1452125341
0224100807,110190657X
0224100807,0143133160
9082942186,1408898934
9082942186,1408893215
9082942186,3498002007
9082942186,0316471917
9082942186,1847941397
9082942186,9023477545
1409584615,1409584380
1409584615,1426333072
1409584615,1695770528
1409584615,0486798712
1409584615,0486247619
1409584615,047114620X
0099478897,0141039167
0099478897,0141986301
0099478897,1782395504
0099478897,0141007206
0099478897,1846041031
0099478897,0330506641
1794480021,9389157129
1794480021,1643990004
1794480021,1988236517
1794480021,1444723251
1794480021,0241957710
1794480021,149293335X
000754247X,0007267126
000754247X,0008334811
000754247X,185702835X
000754247X,0062296019
000754247X,0140167722
000754247X,1841157465
0691165629,069119078X
0691165629,0192893300
0691165629,0007267126
0691165629,1846684307
0691165629,067498403X
0691165629,1786070650
0553819224,1473695996
0553819224,0553173251
0553819224,085750357X
0553819224,1893224546
0553819224,0593048156
0553819224,0593077180
0241954630,0141981806
0241954630,0198739834
0241954630,1786076330
0241954630,0140278168
0241954630,0140146903
0241954630,0141029811
1781256411,1781254176
1781256411,0099505576
1781256411,0099460254
1781256411,0802147801
1781256411,0007118716
1781256411,1474608434
0500519501,1440340242
0500519501,1911130773
0500519501,0500022569
0500519501,0811854299
0500519501,1440354251
0500519501,1471159450
1504046757,0141033576
1504046757,1912453053
1788400267,1844039781
1788400267,1788400259
1788400267,1529319412
1788400267,1473629284
1788400267,1781779465
1788400267,0241379784
3952506907,1781257655
3952506907,0140449337
3952506907,1641527218
3952506907,184604507X
3952506907,1473674786
3952506907,164152748X
2081427117,147363749X
2081427117,1529387159
2081427117,8416863482
2081427117,8423429962
2081427117,3548060412
2081427117,9000351227
0091906814,0143110160
0091906814,0091900212
0091906814,0857207288
0091906814,0684858398
0091906814,0749307234
0091906814,0749307846
1846688914,1108439586
1846688914,0141991747
1846688914,0141988878
1846688914,0241956188
1846688914,1781250456
1846688914,0099535475
1847941435,006124189X
1847941435,1847941494
1847941435,1846680166
1847941435,0007256531
1847941435,0615815650
1847941435,1781257426
0241951224,0141040017
0241951224,0141033576
0241951224,0007256531
0241951224,0753556553
0241951224,1138228915
0241951224,085719609X
0241956188,0141988878
0241956188,1108439586
0241956188,0141024534
0241956188,024141072X
0241956188,0241320887
0241956188,000734077X
1529405106,1408870584
1529405106,1473661234
1529405106,1541647432
1529405106,0141990562
1529405106,1847925995
1529405106,1529406277
1643990004,9389157129
1643990004,1444723251
1643990004,0060891548
1643990004,1794480021
1643990004,034293919X
1643990004,1988236517
8845298752,8845296490
8845298752,883010082X
8845298752,1784703931
8845298752,1784708283
8845298752,6055029634
8845298752,194554094X
1981041435,1440340242
1981041435,198101313X
1981041435,078696619X
1981041435,1719846618
1981041435,0786966211
1981041435,1601255381
1097573702,190884714X
1097573702,1908847107
1097573702,1785315501
1097573702,B0848B3JDV
1097573702,1908847158
1097573702,1908051728
0349411905,1847941834
0349411905,1847946240
0349411905,0753555166
0349411905,0241341132
0349411905,0349408947
0349411905,0349415862
1784704881,0099502550
1784704881,1783963980
1784704881,0804832951
1784704881,1783963972
1784704881,1846276489
1784704881,1783963034
9400404972,1784703931
9400404972,0099590085
9400404972,6055029634
1474611249,1408870584
1474611249,1473661234
1474611249,1529405106
1474611249,0141990562
1474611249,1784705039
1474611249,1847925995
0141024488,0099302780
0141024488,0241958687
0141024488,0141977787
0141024488,0099913801
0141024488,1780747489
0141024488,1780226888
0142001783,0099498022
0142001783,0753806703
0142001783,0141034645
0142001783,0674060326
0142001783,0099501643
0142001783,0143109049
1440354251,1440340242
1440354251,1981766197
1440354251,0500519501
1440354251,0486828654
1440354251,1912233770
1440354251,1507208375
1893224546,1473695996
1893224546,0553173251
1893224546,0593077180
1893224546,0241415322
1893224546,085750357X
1893224546,0553819224
1785781707,1785781715
1785781707,1785781723
1785781707,0199547939
1785781707,0241359244
1785781707,0713674989
1785781707,0198611129
0141987502,0141981806
0141987502,0525558616
0141987502,0198739834
0141987502,0141979240
0141987502,1292153962
0141987502,0241404827
1846144396,1847394574
1846144396,1471139808
1846144396,0141986549
1846144396,0718199715
1846144396,0099994003
1846144396,0141042036
1784702765,1785784978
1784702765,1848313470
1784702765,0099584573
1784702765,0465075703
1784702765,1848319150
1784702765,0241004489
0593077180,0553173251
0593077180,1473695996
0593077180,1893224546
0593077180,0553176986
0593077180,0593056973
0593077180,0593048156
0684858398,1471195201
0684858398,0091906814
0684858398,0743268164
0684858398,B01LPDSSE0
0684858398,0091929113
0684858398,1455892823
1408842815,1841157910
1408842815,1857028899
1408842815,184668532X
1408842815,1841155802
1408842815,1408809591
1408842815,006274805X
0500292949,0099535475
0500292949,1847941397
0500292949,0865477485
0500292949,0262701154
0500292949,3791384716
0500292949,0241956188
1471139808,1847394574
1471139808,1783964456
1471139808,1846144396
1471139808,1841150088
1471139808,0141986549
1471139808,0393335275
1541647432,1408870584
1541647432,1529405106
1541647432,0141990562
1541647432,1847925995
1541647432,1847924956
1541647432,1250306906
0751536822,0751571903
0751536822,0751569577
0751536822,0751537500
